127.0.0.1 - - [25/Apr/2018:21:39:32 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Apr/2018:21:39:56 +0800] "GET /o2o/shopadmin/shoplist HTTP/1.1" 200 91
0:0:0:0:0:0:0:1 - - [25/Apr/2018:21:39:56 +0800] "GET /o2o/local/login?usertype=2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2018:21:39:56 +0800] "GET /o2o/resources/js/local/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2018:21:39:56 +0800] "GET /o2o/resources/js/common/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2018:21:39:57 +0800] "GET /o2o/Kaptcha HTTP/1.1" 200 2685
0:0:0:0:0:0:0:1 - - [25/Apr/2018:21:39:57 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [25/Apr/2018:21:39:58 +0800] "POST /o2o/local/logincheck?_=1524663598018 HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [25/Apr/2018:21:39:59 +0800] "GET /o2o/shopadmin/shoplist HTTP/1.1" 200 2270
0:0:0:0:0:0:0:1 - - [25/Apr/2018:21:39:59 +0800] "GET /o2o/resources/css/shop/shoplist.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2018:21:39:59 +0800] "GET /o2o/resources/js/shop/shoplist.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2018:21:39:59 +0800] "GET /o2o/resources/js/local/logout.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2018:21:39:59 +0800] "GET /o2o/shopadmin/getshoplist HTTP/1.1" 200 3812
0:0:0:0:0:0:0:1 - - [25/Apr/2018:21:40:09 +0800] "GET /o2o/frontend/index HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2018:21:40:09 +0800] "GET /o2o/resources/js/frontend/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2018:21:40:09 +0800] "GET /o2o/resources/css/frontend/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2018:21:40:11 +0800] "GET /o2o/frontend/listmainpageinfo HTTP/1.1" 200 2735
0:0:0:0:0:0:0:1 - - [25/Apr/2018:21:40:11 +0800] "GET /upload/images/item/headtitle/2017061320400198256.jpg HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [25/Apr/2018:21:40:11 +0800] "GET /upload/images/item/headtitle/2017061320371786788.jpg HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [25/Apr/2018:21:40:11 +0800] "GET /upload/images/item/headtitle/2017061320393452772.jpg HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [25/Apr/2018:21:40:11 +0800] "GET /upload/images/item/headtitle/2017061320315746624.jpg HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [25/Apr/2018:21:40:20 +0800] "GET /o2o/frontend/shoplist?parentId=12 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2018:21:40:20 +0800] "GET /o2o/resources/css/frontend/shoplist.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2018:21:40:20 +0800] "GET /o2o/resources/js/frontend/shoplist.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2018:21:40:20 +0800] "GET /o2o/frontend/listshops?pageIndex=1&pageSize=3&parentId=12&areaId=&shopCategoryId=&shopName= HTTP/1.1" 200 1892
0:0:0:0:0:0:0:1 - - [25/Apr/2018:21:40:20 +0800] "GET /upload/images/item/shop/29/2018041514290813222.jpg HTTP/1.1" 304 -
