127.0.0.1 - - [16/Apr/2018:09:38:39 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [16/Apr/2018:09:42:49 +0800] "GET /o2o/shopadmin/getshoplist HTTP/1.1" 200 3800
0:0:0:0:0:0:0:1 - - [16/Apr/2018:09:45:12 +0800] "GET /o2o/resources/js/shop/shopoperation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:09:45:12 +0800] "GET /o2o/Kaptcha HTTP/1.1" 200 2703
0:0:0:0:0:0:0:1 - - [16/Apr/2018:09:45:12 +0800] "GET /o2o/shopadmin/getshopinitinfo HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [16/Apr/2018:09:45:12 +0800] "GET /o2o/shopadmin/getshopinitinfo HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [16/Apr/2018:09:45:27 +0800] "GET /o2o/shopadmin/getshopmanagementinfo?shopId=28 HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [16/Apr/2018:09:45:29 +0800] "GET /o2o/shopadmin/getproductlistbyshop?pageIndex=1&pageSize=999 HTTP/1.1" 200 2078
0:0:0:0:0:0:0:1 - - [16/Apr/2018:09:45:34 +0800] "GET /o2o/frontend/shoplist?parentId=12 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:09:45:34 +0800] "GET /o2o/frontend/listshops?pageIndex=1&pageSize=3&parentId=12&areaId=&shopCategoryId=&shopName= HTTP/1.1" 200 1892
0:0:0:0:0:0:0:1 - - [16/Apr/2018:09:45:34 +0800] "GET /upload/images/item/shop/28/2018041514284281240.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [16/Apr/2018:09:45:34 +0800] "GET /upload/images/item/shop/29/2018041514290813222.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [16/Apr/2018:09:45:34 +0800] "GET /upload/images/item/shop/30/2018041514292737195.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [16/Apr/2018:09:45:34 +0800] "GET /o2o/frontend/listshopspageinfo?parentId=12 HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [16/Apr/2018:09:45:37 +0800] "GET /o2o/frontend/index HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:09:45:37 +0800] "GET /o2o/frontend/listmainpageinfo HTTP/1.1" 200 2735
0:0:0:0:0:0:0:1 - - [16/Apr/2018:09:45:37 +0800] "GET /upload/images/item/headtitle/2017061320400198256.jpg HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [16/Apr/2018:09:45:37 +0800] "GET /upload/images/item/headtitle/2017061320371786788.jpg HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [16/Apr/2018:09:45:37 +0800] "GET /upload/images/item/headtitle/2017061320315746624.jpg HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [16/Apr/2018:09:45:37 +0800] "GET /upload/images/item/headtitle/2017061320393452772.jpg HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [16/Apr/2018:09:45:47 +0800] "GET /o2o/frontend/listshops?pageIndex=1&pageSize=3&parentId=12&areaId=&shopCategoryId=&shopName= HTTP/1.1" 200 1892
0:0:0:0:0:0:0:1 - - [16/Apr/2018:09:45:47 +0800] "GET /o2o/frontend/listshopspageinfo?parentId=12 HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [16/Apr/2018:09:45:47 +0800] "GET /upload/images/item/shop/28/2018041514284281240.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [16/Apr/2018:09:45:47 +0800] "GET /upload/images/item/shop/30/2018041514292737195.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [16/Apr/2018:09:45:47 +0800] "GET /upload/images/item/shop/29/2018041514290813222.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [16/Apr/2018:09:45:50 +0800] "GET /o2o/frontend/listshopdetailpageinfo?shopId=28 HTTP/1.1" 200 1316
0:0:0:0:0:0:0:1 - - [16/Apr/2018:09:45:50 +0800] "GET /o2o/frontend/listproductsbyshop?pageIndex=1&pageSize=3&productCategoryId=&productName=&shopId=28 HTTP/1.1" 200 1067
0:0:0:0:0:0:0:1 - - [16/Apr/2018:09:45:50 +0800] "GET /upload/images/item/shop/28/2018041514284281240.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [16/Apr/2018:09:45:50 +0800] "GET /upload/images/item/shop/28/2018041514304785984.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [16/Apr/2018:09:45:50 +0800] "GET /upload/images/item/shop/28/2018041514313864241.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [16/Apr/2018:09:45:50 +0800] "GET /upload/images/item/shop/28/2018041514311126552.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [16/Apr/2018:09:45:53 +0800] "GET /o2o/frontend/listproductdetailpageinfo?productId=7 HTTP/1.1" 200 1009
0:0:0:0:0:0:0:1 - - [16/Apr/2018:09:45:53 +0800] "GET /upload/images/item/shop/28/2018041514304872782.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [16/Apr/2018:09:45:53 +0800] "GET /upload/images/item/shop/28/2018041514304785984.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [16/Apr/2018:09:45:53 +0800] "GET /upload/images/item/shop/28/2018041514304887049.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [16/Apr/2018:09:46:16 +0800] "GET /upload/images/item/shop/28/2018041514284281240.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [16/Apr/2018:09:46:16 +0800] "GET /upload/images/item/shop/28/2018041514304785984.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [16/Apr/2018:09:46:16 +0800] "GET /upload/images/item/shop/28/2018041514311126552.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [16/Apr/2018:09:46:16 +0800] "GET /upload/images/item/shop/28/2018041514313864241.jpg HTTP/1.1" 404 1094
